artist_name,music_name,music_id,release_date,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key
JustinWellington,Iko Iko (My Bestie),7MC4XR9M9amdmKQr2iDF7i,2019-06-03,80,0.131,0.862,182857,0.753,2.01e-06,0.077,0.8270000000000001,-5.356,0.0625,105.039,5
MileyCyrus,Angels Like You,1daDRI9ahBonbWD8YcxOIB,2020-11-27,77,0.0981,0.672,196453,0.642,0.0,0.1,0.494,-4.035,0.0313,121.981,5
Regard,Signals,3Zs7UPRJeoy3uycdPHVfwv,2021-10-29,69,0.415,0.741,167998,0.76,4.27e-06,0.095,0.588,-5.359,0.0447,120.01,5
TaiVerdes,A-O-K,51PSUD2YHjPyAy3jnkaoy7,2021-05-20,77,0.125,0.731,173640,0.626,0.0,0.183,0.862,-6.919,0.0805,82.488,11
Kygo,Love Me Now (feat. Zoe Wees),1c1sdxrYLIiuJOlE7PPttb,2021-08-13,78,0.163,0.662,195880,0.489,0.0,0.172,0.506,-7.067,0.0525,102.04,5
BrunoMars,Leave The Door Open,7MAibcTli4IisCtbHKrGMh,2021-03-05,88,0.182,0.586,242096,0.616,0.0,0.0927,0.7190000000000001,-7.963999999999999,0.0324,148.088,5
RauwAlejandro,Cúrame,3PwRuzdphgedcWVUOVYJ7I,2021-06-25,89,0.584,0.765,164705,0.625,0.00111,0.112,0.262,-3.599,0.0548,102.101,9
MileyCyrus,Prisoner (feat. Dua Lipa),5JqZ3oqF00jkT81foAFvqg,2020-11-20,77,0.0103,0.7809999999999999,169333,0.67,0.0,0.0761,0.595,-3.912,0.0452,127.99,3
RittMomney,Put Your Records On,6AGOKlMZWLCaEJGnaROtF9,2020-04-24,80,0.0563,0.399,210463,0.491,0.0008900000000000002,0.11,0.151,-10.778,0.0538,91.066,6
Farruko,El Incomprendido,2mL37yB3f3Lfy4iiXV02Qf,2021-10-01,77,0.113,0.754,267546,0.841,0.0,0.466,0.541,-3.19,0.135,128.019,11
RitaOra,Poison,73ucpKq91TuejrLHgzDNHK,2015-05-18,74,0.0821,0.579,202906,0.738,1.52e-06,0.232,0.431,-5.711,0.0542,124.023,10
AlanWalker,Sweet Dreams,4uDhts78RdwIDjEqPrYVKp,2021-06-11,79,0.0239,0.7659999999999999,138819,0.8170000000000001,2.49e-06,0.159,0.43,-4.253,0.035,125.033,7
Chlöe,Have Mercy,5SixeLvPsYpk7qq9lo5xYg,2021-09-10,84,0.297,0.903,148778,0.535,0.0,0.345,0.508,-6.434,0.0742,130.02200000000002,9
RauwAlejandro,Todo De Ti,5RwV8BvLfX5injfqYodke9,2021-06-25,83,0.302,0.78,199604,0.7190000000000001,0.000196,0.0931,0.336,-3.613,0.0506,127.962,3
Boza,Hecha Pa' Mi,3VvA1wSxukMLsvXoXtlwWx,2020-07-31,80,0.362,0.725,186133,0.7559999999999999,0.000685,0.103,0.828,-5.013,0.0572,100.07,4
MadisonBeer,Reckless,5ajjAnNRh8bxFvaVHzpPjh,2021-06-04,83,0.807,0.386,203384,0.426,0.0,0.14,0.261,-6.642,0.0363,180.104,3
Blackbear,@ my worst,5evRJdyXpQjdXhplXIQ0Bc,2021-08-13,62,0.0173,0.615,191364,0.774,0.0,0.15,0.336,-5.152,0.0551,136.887,4
Saweetie,Best Friend (feat. Doja Cat),2etHQJxIbV0soyPhelVs9Y,2021-01-07,80,0.00302,0.84,155883,0.7659999999999999,3.61e-06,0.0684,0.402,-4.12,0.136,94.018,4
Meduza,Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,2020-10-30,83,0.0689,0.632,167903,0.595,0.0,0.209,0.435,-7.644,0.0401,124.114,8
Tokischa,Linda,1ahCrpeTt94LL7y1aXw0Y8,2021-09-01,82,0.0685,0.8909999999999999,144018,0.7509999999999999,0.000598,0.19,0.711,-3.15,0.124,115.046,2
BadBunny,DÁKITI,47EiUVwUp4C9fGccaPuUCS,2020-10-30,84,0.401,0.731,205090,0.573,5.22e-05,0.113,0.145,-10.059,0.0544,109.928,4
LucioDalla,4/3/1943,3yGyWqmw9eCQPdJJ6iJLWs,1970,54,0.8909999999999999,0.596,222160,0.305,1.94e-06,0.192,0.782,-13.27,0.046,134.381,0
PescadoRabioso,Todas las Hojas Son del Viento,689lBKIELtWGHfsPWpR6rv,1973-05-07,54,0.657,0.523,130080,0.16899999999999998,1.0800000000000003e-05,0.115,0.392,-14.107,0.0403,76.04899999999998,0
LuizMelodia,Pérola Negra,5JG0NigCZCt81My5Yizv1E,1973-01-01,52,0.972,0.526,169973,0.252,0.0017,0.155,0.312,-9.801,0.0556,105.469,5
Smokie,Lay Back in the Arms of Someone,1r9QBciQVM1BnW72cQUA4R,1977,52,0.0757,0.594,245107,0.75,0.000244,0.0593,0.693,-7.216,0.0299,122.949,2
ElisRegina,O bêbado e a equilibrista,3eVyDZXJPJzUKkyWP6eLyc,1979-05-17,54,0.773,0.442,229733,0.417,3.54e-06,0.229,0.276,-12.992,0.047,94.233,4
Fischer-Z,So Long,3XAiXl3dKpG7b0qcrCtBD4,1980,51,0.0069700000000000005,0.556,302733,0.384,0.000926,0.0545,0.8909999999999999,-14.98,0.0407,126.841,0
AustralianCrawl,Errol - Remastered,1kxPRJGVKGqjJM7BB44p0p,1981-01-01,56,0.0414,0.613,210720,0.772,0.0,0.24,0.785,-6.971,0.0422,164.825,0
Perfect,Nie Płacz Ewka,0SQx1rzFdxMDRRecifKZ2u,1981-05-05,52,0.304,0.644,342000,0.39,0.0028,0.138,0.297,-10.495,0.0267,110.468,9
LuisAlbertoSpinetta,Barro Tal Vez,1y96w7WDPlwByq9aISEi6G,1982-04-08,55,0.938,0.392,197747,0.124,0.0,0.134,0.141,-15.154000000000002,0.0424,122.422,2
DemisRoussos,Goodbye My Love Goodbye,2kY1ovuVYgjomL9FOZYwcv,1983-01-01,50,0.6759999999999999,0.316,237533,0.376,1.04e-06,0.175,0.28800000000000003,-12.798,0.0296,91.502,7
RoupaNova,Dona,4Bd8jSFBXHC1K7JAKW9Ojm,1985-08-22,57,0.7240000000000001,0.489,242733,0.475,0.0,0.505,0.307,-9.565,0.0343,139.213,7
LegiãoUrbana,Ainda É Cedo,7uscfoAoI65JcSY4NyHg1t,1985-01-01,59,0.32,0.612,237733,0.675,0.00093,0.0861,0.8029999999999999,-10.39,0.0388,148.336,2
TheHooters,Johnny B.,20JrcZW9Djp70GZyFRrAfl,1985,52,0.136,0.473,237467,0.855,4.5e-05,0.292,0.521,-6.221,0.0293,91.744,9
PatricioReyYSusRedonditosDeRicota,La Bestia Pop,5WeBnrDPyLhxruxVryHCkn,1985-04-22,58,0.0506,0.6409999999999999,247067,0.677,0.112,0.0687,0.8959999999999999,-10.142,0.0327,120.666,7
DuncanDhu,Cien gaviotas,020Gj87SqDRvzGHELzcCEc,1986-01-17,57,0.133,0.593,169773,0.943,4.38e-05,0.0478,0.846,-4.503,0.0424,136.02700000000002,9
LuisMiguel,Sólo Tú (Only You),6Jiom35dhAYX6ohfwJkQEr,1987-07-15,50,0.208,0.55,200293,0.614,1.27e-05,0.185,0.596,-9.347,0.0276,103.041,11
LuluSantos,Toda Forma de Amor,2ma8V5vEOfCuyqZ0V8HAq3,1988-08-15,59,0.113,0.674,225760,0.833,8.82e-05,0.0957,0.8270000000000001,-5.631,0.0363,137.905,9
LosFabulososCadillacs,El Satánico Dr. Cadillac - Remasterizado 2008,1GcL18n7WMpc6xRwY7D0bE,1989-06-18,51,0.134,0.7859999999999999,241333,0.942,0.0223,0.0476,0.884,-3.751,0.0509,116.294,7
MarcAlmond GenePitney,Something's Gotten Hold of My Heart,68O1r5xQADu0JjvBibg9zN,1989-01-30,51,0.14800000000000002,0.565,280489,0.4920000000000001,0.0,0.0684,0.364,-12.548,0.0254,98.247,4
Zucchero,Diamante,6fLutWYQE6b4hi4evACwwa,1989-01-01,55,0.386,0.645,345067,0.289,0.00157,0.0854,0.47,-17.675,0.029,111.035,5
DanzaInvisible,"Sin aliento, 1984",5H8JFqWDX83ftWCYhOhO1E,1989-01-01,52,0.008709999999999999,0.605,294800,0.6859999999999999,0.0008710000000000001,0.29600000000000004,0.8370000000000001,-12.455,0.0281,88.431,11
EltonJohn,Your Song,747fyAuUDG3feXRd6pILnx,1990-11-08,66,0.78,0.5539999999999999,240800,0.33,3.43e-06,0.107,0.297,-10.866,0.03,128.214,3
LosPrisioneros,Amiga Mía,0swl1tZWBEBOdRVPN6axXe,1990-09-08,55,0.0208,0.79,242573,0.622,0.00293,0.134,0.919,-8.19,0.0545,135.256,11
EltonJohn,Sacrifice,2FEJakApJ34PB5CXRYLspv,1990-11-08,52,0.227,0.7559999999999999,308200,0.534,0.0016300000000000002,0.0603,0.386,-9.056,0.0256,111.314,1
LuisMiguel,Alguien Como Tú,4syvq0aJLeWu0UA9VYcgob,1990-01-01,50,0.267,0.634,259067,0.904,8.25e-06,0.22,0.735,-7.564,0.0981,99.939,1
SodaStereo,Hombre Al Agua - Remasterizado 2007,5X1QC3aBZxtICZvNg5yrsf,1990-10-09,51,0.00916,0.603,355067,0.657,0.0167,0.0704,0.623,-7.938,0.0265,97.113,7
BlackBox,Fantasy,6aKxDL6KiKCHYsQyDq7Vgd,1990-04-09,50,0.00692,0.713,312987,0.664,0.00184,0.163,0.49,-9.095,0.046,98.102,7
LauraFygi,Dream A Little Dream,5vVLUqs9ogEGnH44Lh8Tuc,1991-01-01,50,0.847,0.6509999999999999,217573,0.221,1.11e-06,0.0895,0.319,-15.223,0.0273,88.167,0
CrowdedHouse,Four Seasons In One Day,7sDHD9tCtnPqGNTRHy0kSR,1991-01-01,52,0.816,0.517,170160,0.261,0.00016299999999999998,0.0863,0.4920000000000001,-17.195999999999998,0.0263,89.221,7
PaulYoung,Wherever I Lay My Hat (That's My Home),3yzM3pkIF5rlllUAAhFPx7,1991-09-07,51,0.225,0.61,250160,0.39,0.0,0.0888,0.536,-12.959,0.0576,88.98899999999998,10
OrchestralManoeuvresInTheDark,Sailing On The Seven Seas,30R6QDPKZCeepPj3hSmQvp,1991-05-07,52,0.00761,0.6459999999999999,225827,0.636,0.165,0.055,0.852,-15.222,0.0421,126.629,9
Caifanes,Para Que No Digas Que No Pienso en Ti,59UINV3c9gQ4bzgXbMf9aS,1992-06-08,50,0.141,0.71,235227,0.741,0.0,0.0825,0.922,-10.726,0.0746,139.94799999999998,2
VanessaParadis,Be My Baby,5UkoitnvaDUSsq7cVsOdOh,1992-01-01,56,0.447,0.731,221640,0.6829999999999999,4.67e-06,0.117,0.963,-8.045,0.0294,129.062,0
TheBeloved,Sweet Harmony,5lSOVaPDk7x9Ey6c9DqGZx,1993,57,0.0144,0.573,301467,0.8370000000000001,0.0889,0.0544,0.7959999999999999,-8.352,0.0337,101.59,10
LauraPausini,La solitudine,5bxQHscWvyaQbm37igKP4K,1993-04-23,59,0.738,0.574,240560,0.467,0.0,0.149,0.256,-6.374,0.0381,131.89,1
LosFabulososCadillacs,El Satánico Dr. Cadillac (Versión '93) - Remasterizado 2008,38BgSgrjtPKDkFxykexEFu,1993-06-18,54,0.00432,0.562,256773,0.923,0.00197,0.0513,0.7929999999999999,-5.166,0.0436,113.853,7
MatecanaOrquesta,Gracias Amor,09zJAF4Z2v55rU9XXZfA9N,1993-01-01,54,0.7340000000000001,0.7340000000000001,289097,0.521,5.81e-05,0.396,0.7809999999999999,-11.712,0.0405,90.788,10
HappyMondays AndyWeatherall PaulOakenfold,Hallelujah - Club Mix,1gAbNhSjDgQEVg8g18mxSZ,1993-01-01,52,0.00315,0.62,389493,0.908,0.19,0.417,0.575,-6.773,0.0349,98.009,5
Aslan,Crazy World,5akihxQPVtNGkZV2uAImMY,1994-05-12,51,0.134,0.462,272027,0.665,7.509999999999998e-05,0.122,0.705,-10.411,0.0287,194.19,4
Gazebo,I Like Chopin,2FHnN5ELL83TGbtXMDzoiJ,1994-06-01,59,0.5770000000000001,0.779,291720,0.635,0.000258,0.215,0.53,-8.027999999999999,0.0282,108.018,2
JulioIglesias,Fragile,62WN08m5pycMB66qnmnQ2S,1994,50,0.8540000000000001,0.477,263173,0.265,0.0414,0.0752,0.175,-15.943,0.0286,82.912,5
RoselleNava,Bakit Nga Ba Mahal Kita,2o8IwUyswoiopRW90hwxWz,1994-06-01,53,0.708,0.47,304000,0.297,2.68e-06,0.166,0.19,-13.149,0.0358,72.923,5
MartinNievera,Forever,3F3iK8Cefj1b2c2HTlLn1k,1994,50,0.7040000000000001,0.4920000000000001,241667,0.48,0.0,0.278,0.11,-5.1770000000000005,0.0287,117.942,9
LuisMiguel,Como Yo Te Amé,4uP2EipoPEAq3InMMCQMG9,1994-08-30,51,0.524,0.221,214507,0.6759999999999999,0.0,0.14400000000000002,0.235,-7.292000000000002,0.0502,72.426,5
JoaquínSabina,Por el Bulevar de los Sueños Rotos,7KcFlbQmzhVczGMor3Fhr9,1994-06-01,61,0.29,0.7490000000000001,238573,0.662,1.39e-05,0.355,0.74,-7.585,0.0468,126.998,4
PjHarvey,To Bring You My Love,537IPiZTZ1GVcohzFHAHf5,1995-01-01,50,0.669,0.5720000000000001,331600,0.27,0.007120000000000001,0.0577,0.14,-15.119000000000002,0.0354,116.197,0
Blur,Country House - 2012 Remaster,6L4fEE9awoUnSEy1bmQebb,1995-09-11,57,0.205,0.331,236960,0.885,0.0,0.123,0.589,-6.606,0.0924,175.294,9
PaulWeller,You Do Something To Me,2dINjMxChoALja13fOn99R,1995-01-01,58,0.477,0.444,218560,0.339,0.006640000000000001,0.112,0.297,-13.156,0.0273,72.637,4
JoséCarreras SarahBrightman,Amigos Para Siempre,19oKI3PXgPpTy5GpDQwpro,1995-01-01,52,0.508,0.5529999999999999,274773,0.408,0.0,0.102,0.477,-14.932,0.0315,110.47,8
Shakira,Te Necesito,6nR1XJxwiZlsDMnOsdlh5m,1995-10-06,52,0.343,0.742,240227,0.299,0.0,0.103,0.51,-10.936,0.036000000000000004,121.997,9
Shakira,"Se Quiere, Se Mata",31NNxg7WYqs1bgRSFXgCf8,1995-10-06,52,0.0236,0.833,218333,0.607,2.44e-06,0.154,0.6679999999999999,-8.318999999999999,0.0327,118.003,9
SammiCheng,終身美麗 (電影“瘦身男女”主題曲),3ctJQ3riTHFk5A5SMDr1F7,1995-11-01,50,0.366,0.398,206093,0.3720000000000001,3.35e-05,0.114,0.394,-10.18,0.0308,72.881,9
TheBeautifulSouth,Rotterdam (Or Anywhere),7BZLNqU7zChzcnSo6ETJ5l,1996-01-01,60,0.327,0.7240000000000001,215893,0.585,2.38e-06,0.139,0.525,-7.68,0.0312,108.114,0
JoaquínSabina,Contigo,5yIVcrwQXdIlDgTMc8pa6z,1996-06-21,62,0.0309,0.49,279267,0.418,2.02e-05,0.0615,0.226,-10.773,0.0572,98.507,2
AnaCirré,Casi Perfecto,3D7oEQW1sblgMN8vxR6x06,1996-01-01,52,0.843,0.618,263787,0.264,0.0,0.0848,0.202,-14.085,0.0356,73.085,2
JenniferLoveHewitt,No Ordinary Love,0qKKE7sLRt9jqG0b04w7Es,1996-09-03,51,0.4920000000000001,0.614,245400,0.474,0.0,0.0877,0.206,-9.007,0.033,120.085,7
SouthBorder,Love of My Life - Multiplex Karaoke,3EdBq6AJ190RVcq4icTHtS,1996-07-11,52,0.315,0.626,391573,0.487,0.0,0.252,0.149,-6.817,0.0378,132.185,5
SouthBorder,Kahit Kailan - Multiplex Karaoke,0fANuI8483AKyup2bVWZOm,1996-07-11,52,0.36,0.343,343400,0.182,0.0,0.349,0.0755,-13.755999999999998,0.0313,116.016,9
Ilegales PavelDeJesús SócratesDeJesús,Como Un Trueno,5NuGimnwSMQwBKgCCy7wIn,1997-11-11,52,0.187,0.8340000000000001,246267,0.945,0.0775,0.0731,0.934,-6.527,0.0424,130.418,0
LucianoPavarotti,Caruso,0tTbk9bpoFRDa19eVghS4d,1997-01-01,55,0.835,0.332,318667,0.23,4.49e-05,0.107,0.215,-12.146,0.0338,99.573,7
ChichiPeralta,La Ciguapa,6Fu5E5nuKfVOecwBmWLi7O,1997-07-01,52,0.292,0.82,275200,0.838,0.0422,0.266,0.83,-8.091000000000001,0.0483,105.065,0
BuenaVistaSocialClub,Orgullecida,4NZh6DbAbwWmBhOVf7850p,1997-06-23,50,0.722,0.614,198200,0.343,0.000478,0.1,0.655,-14.101,0.0358,79.638,0
PepeAguilar,Llamarada,2lPr6J8PXX8ov6W7vF95nI,1998-11-16,50,0.851,0.435,195907,0.385,4.11e-06,0.27,0.494,-8.006,0.0293,142.671,11
RobbieWilliams,Millennium,1nrackcWUBo87xecPgry2G,1998,55,0.0556,0.545,247573,0.902,0.0,0.196,0.777,-5.3020000000000005,0.0471,91.251,6
UltraNaté Amber JocelynEnriquez,If You Could Read My Mind,1bOJQnJsFW5LZOgGp4K2mb,1998-07-16,50,0.0405,0.609,206773,0.88,0.0,0.284,0.389,-7.407,0.0742,126.981,3
JimmyDawkins,Little Angel Child,512gC8sU5PxZAFrskHEfzk,1998-01-01,50,0.125,0.5,239267,0.638,0.0285,0.199,0.746,-7.262,0.0461,122.621,2
JarabeDePalo,Pura sangre,2VwQ06GpRpiQBnPbJJRszh,1998,55,0.118,0.868,247600,0.616,0.00705,0.0646,0.895,-10.612,0.0329,133.77700000000002,9
JulioIglesias,"Soy un Truhán, Soy un Señor",07nrFSbS6ht0jMNpTpMfsg,1998-09-05,53,0.262,0.551,180600,0.607,0.0,0.361,0.684,-9.483,0.0329,99.041,0
Shakira,Que Vuelvas,3DjXu9jBpV5lPbhHQVyPQd,1998-09-29,53,0.0185,0.688,230800,0.917,0.00241,0.0712,0.7879999999999999,-7.449,0.0314,123.873,2
